Ref,Val,Package,PosX,PosY,Rot,Side
"J2","RaspberryPi_GPIO","PinSocket_2x20_P2.54mm_Vertical",45.720000,-7.000000,180.000000,bottom
"C1","10uF","C_0402_1005Metric",24.000000,-28.000000,180.000000,top
"C2","1uF","C_0402_1005Metric",24.000000,-26.000000,180.000000,top
"C3","100nF","C_0402_1005Metric",24.000000,-24.000000,180.000000,top
"C4","100nF","C_0402_1005Metric",24.000000,-30.000000,180.000000,top
"C5","1uF","C_0402_1005Metric",24.000000,-32.000000,180.000000,top
"C6","10uF","C_0402_1005Metric",31.000000,-25.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",29.000000,-25.000000,180.000000,top
"C8","10uF","C_0402_1005Metric",35.000000,-25.000000,0.000000,top
"C9","100nF","C_0402_1005Metric",33.000000,-25.000000,0.000000,top
"C10","1uF","C_0402_1005Metric",24.000000,-34.000000,180.000000,top
"CD1","820pF","C_0402_1005Metric",15.000000,-38.000000,-90.000000,top
"CD2","820pF","C_0402_1005Metric",15.000000,-44.000000,-90.000000,top
"CD3","820pF","C_0402_1005Metric",15.000000,-50.000000,-90.000000,top
"CD4","820pF","C_0402_1005Metric",15.000000,-56.000000,-90.000000,top
"FB1","FerriteBead","R_0402_1005Metric",24.000000,-22.000000,0.000000,top
"J1","HDR_2x15","HDR_2x15_1.27MM_SMD",5.000000,-30.000000,0.000000,top
"R1","4.7k","R_0402_1005Metric",34.500000,-28.500000,90.000000,top
"R2","4.7k","R_0402_1005Metric",34.500000,-30.500000,90.000000,top
"R3","0R","R_0402_1005Metric",34.500000,-32.500000,90.000000,top
"R4","0R","R_0402_1005Metric",36.500000,-32.500000,90.000000,top
"R6","10k","R_0402_1005Metric",7.000000,-41.500000,0.000000,top
"R7","10k","R_0402_1005Metric",4.200000,-41.500000,0.000000,top
"RN1","1k","R_0402_1005Metric",12.000000,-39.000000,0.000000,top
"RN2","1k","R_0402_1005Metric",12.000000,-45.000000,0.000000,top
"RN3","1k","R_0402_1005Metric",12.000000,-51.000000,0.000000,top
"RN4","1k","R_0402_1005Metric",12.000000,-57.000000,0.000000,top
"RP1","1k","R_0402_1005Metric",12.000000,-37.000000,0.000000,top
"RP2","1k","R_0402_1005Metric",12.000000,-43.000000,0.000000,top
"RP3","1k","R_0402_1005Metric",12.000000,-49.000000,0.000000,top
"RP4","1k","R_0402_1005Metric",12.000000,-55.000000,0.000000,top
"U1","TLV320ADC3140","TLV320ADC3140_WQFN24",30.000000,-30.000000,0.000000,top
