freq_hz,s11_db,s21_db
2.000000000000000000e+10,-4.154990946701545340e+01,-1.202241906792068799e-01
2.002000000000000000e+10,-4.153785590505207637e+01,-1.202177043327674194e-01
2.004000000000000000e+10,-4.152627371311234583e+01,-1.202111655678298058e-01
2.006000000000000000e+10,-4.151516172763379586e+01,-1.202045749058648777e-01
2.008000000000000000e+10,-4.150451880242877678e+01,-1.201979326903583056e-01
2.010000000000000000e+10,-4.149434380580701287e+01,-1.201912390570980677e-01
2.012000000000000000e+10,-4.148463561677939992e+01,-1.201844939141700763e-01
2.014000000000000000e+10,-4.147539312042671611e+01,-1.201776969323662680e-01
2.016000000000000000e+10,-4.146661520256622424e+01,-1.201708475460450398e-01
2.018000000000000000e+10,-4.145830074385895614e+01,-1.201639449642777357e-01
2.020000000000000000e+10,-4.145044861353267152e+01,-1.201569881917861765e-01
2.022000000000000000e+10,-4.144305766287840243e+01,-1.201499760584241877e-01
2.024000000000000000e+10,-4.143612671872403297e+01,-1.201429072561844835e-01
2.026000000000000000e+10,-4.142965457704625720e+01,-1.201357803819292497e-01
2.028000000000000000e+10,-4.142363999689736431e+01,-1.201285939841919975e-01
2.030000000000000000e+10,-4.141808169480727031e+01,-1.201213466120236162e-01
2.032000000000000000e+10,-4.141297833978178744e+01,-1.201140368641109846e-01
2.034000000000000000e+10,-4.140832854902330951e+01,-1.201066634359193031e-01
2.036000000000000000e+10,-4.140413088444006462e+01,-1.200992251633915542e-01
2.038000000000000000e+10,-4.140038385000453047e+01,-1.200917210610841224e-01
2.040000000000000000e+10,-4.139708588996412431e+01,-1.200841503537428273e-01
2.042000000000000000e+10,-4.139423538789462498e+01,-1.200765124997268674e-01
2.044000000000000000e+10,-4.139183066654545939e+01,-1.200688072058021943e-01
2.046000000000000000e+10,-4.138986998838567644e+01,-1.200610344324986589e-01
2.048000000000000000e+10,-4.138835155674891553e+01,-1.200531943901703008e-01
2.050000000000000000e+10,-4.138727351744343252e+01,-1.200452875258446600e-01
2.052000000000000000e+10,-4.138663396067349254e+01,-1.200373145014598797e-01
2.054000000000000000e+10,-4.138643092310292104e+01,-1.200292761645577327e-01
2.056000000000000000e+10,-4.138666238990395385e+01,-1.200211735124717821e-01
2.058000000000000000e+10,-4.138732629660188422e+01,-1.200130076515674715e-01
2.060000000000000000e+10,-4.138842053056325199e+01,-1.200047797531246518e-01
2.062000000000000000e+10,-4.138994293196596175e+01,-1.199964910076885272e-01
2.064000000000000000e+10,-4.139189129411850843e+01,-1.199881425794577239e-01
2.066000000000000000e+10,-4.139426336300958553e+01,-1.199797355627994083e-01
2.068000000000000000e+10,-4.139705683600473662e+01,-1.199712709422325746e-01
2.070000000000000000e+10,-4.140026935962424659e+01,-1.199627495576641029e-01
2.072000000000000000e+10,-4.140389852638095647e+01,-1.199541720760320535e-01
2.074000000000000000e+10,-4.140794187068070187e+01,-1.199455389704425501e-01
2.076000000000000000e+10,-4.141239686381339880e+01,-1.199368505075432689e-01
2.078000000000000000e+10,-4.141726090811388872e+01,-1.199281067436330506e-01
2.080000000000000000e+10,-4.142253133037394264e+01,-1.199193075295428013e-01
2.082000000000000000e+10,-4.142820537462963415e+01,-1.199104525239435837e-01
2.084000000000000000e+10,-4.143428019446055544e+01,-1.199015412148340398e-01
2.086000000000000000e+10,-4.144075284494381606e+01,-1.198925729479572710e-01
2.088000000000000000e+10,-4.144762027443323404e+01,-1.198835469613593885e-01
2.090000000000000000e+10,-4.145487931631723200e+01,-1.198744624245108858e-01
