Ref,Val,Package,PosX,PosY,Rot,Side
C1,4.7uF,C_0603_1608Metric,62.000000,-46.000000,90.000000,top
C2,1uF,C_0603_1608Metric,68.500000,-20.000000,90.000000,top
C3,1uF,C_0603_1608Metric,60.500000,-19.500000,90.000000,top
C4,1uF,C_0603_1608Metric,68.500000,-28.000000,90.000000,top
C5,1uF,C_0603_1608Metric,59.000000,-29.500000,90.000000,top
C6,1uF,C_0603_1608Metric,61.250000,-40.000000,90.000000,top
C7,1uF,C_0603_1608Metric,66.750000,-40.000000,90.000000,top
C15,0.1uF,C_0402_1005Metric,58.500000,-23.000000,-90.000000,top
C16,1nF,C_0402_1005Metric,57.000000,-23.000000,-90.000000,top
C17,10pF,C_0402_1005Metric,54.500000,-18.750000,90.000000,top
C18,0.1uF,C_0402_1005Metric,47.500000,-18.750000,90.000000,top
C19,1nF,C_0402_1005Metric,49.000000,-18.750000,90.000000,top
C20,10pF,C_0402_1005Metric,50.500000,-18.750000,90.000000,top
C22,0.1uF,C_0402_1005Metric,44.500000,-24.500000,90.000000,top
C23,1nF,C_0402_1005Metric,44.500000,-22.500000,90.000000,top
C24,10pF,C_0402_1005Metric,44.500000,-20.500000,90.000000,top
C27,0.1uF,C_0402_1005Metric,58.500000,-26.250000,90.000000,top
C28,1nF,C_0402_1005Metric,56.500000,-26.250000,90.000000,top
C29,10pF,C_0402_1005Metric,54.500000,-29.000000,90.000000,top
C30,1nF,C_0402_1005Metric,61.500000,-36.500000,180.000000,top
C31,22uF,C_0805_2012Metric,58.500000,-42.000000,90.000000,top
C32,10pF,C_0402_1005Metric,59.000000,-33.500000,90.000000,top
C33,220pF,C_0402_1005Metric,49.250000,-33.500000,90.000000,top
C34,3.3nF,C_0402_1005Metric,52.000000,-32.000000,90.000000,top
C35,47pF,C_0402_1005Metric,52.500000,-29.250000,90.000000,top
C36,100pF,C_0402_1005Metric,49.000000,-30.250000,180.000000,top
C37,1nF,C_0402_1005Metric,48.750000,-28.250000,180.000000,top
C38,100nF,C_0402_1005Metric,40.000000,-26.500000,180.000000,top
C39,10pF,C_0402_1005Metric,42.000000,-26.500000,0.000000,top
C40,100nF,C_0402_1005Metric,41.000000,-28.000000,-90.000000,top
C41,100nF,C_0402_1005Metric,38.500000,-31.000000,180.000000,top
C42,10pF,C_0402_1005Metric,42.000000,-33.000000,90.000000,top
C43,100nF,C_0402_1005Metric,40.250000,-31.000000,-90.000000,top
C44,10pF,C_0402_1005Metric,40.250000,-33.000000,90.000000,top
C45,100nF,C_0402_1005Metric,40.000000,-35.000000,180.000000,top
C46,10pF,C_0402_1005Metric,39.000000,-37.000000,0.000000,top
C47,100nF,C_0402_1005Metric,42.000000,-41.000000,0.000000,top
C48,100nF,C_0402_1005Metric,42.000000,-36.000000,0.000000,top
C49,100nF,C_0402_1005Metric,52.000000,-40.000000,90.000000,top
C50,100nF,C_0402_1005Metric,55.000000,-24.250000,180.000000,top
C52,100nF,C_0402_1005Metric,51.750000,-19.250000,-90.000000,top
C53,10pF,C_0201_0603Metric,48.750000,-26.600000,90.000000,top
C55,100pF,C_0402_1005Metric,50.250000,-27.300000,-90.000000,top
C56,47nF,C_0402_1005Metric,53.000000,-27.000000,-90.000000,top
C57,220nF,C_0402_1005Metric,54.500000,-27.000000,-90.000000,top
C58,220nF,C_0402_1005Metric,47.000000,-21.750000,0.000000,top
C59,100nF,C_0402_1005Metric,57.000000,-40.000000,90.000000,top
C70,100nF,C_0402_1005Metric,32.750000,-20.750000,-90.000000,top
